127.0.0.1 - - [10/Jan/2025:09:47:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:47:29 +0900] "POST /edupack_egov/edu/uploadFile.do HTTP/1.1" 200 697
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:47:30 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:48:21 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:52:33 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:54:46 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:09:57:18 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:01:43 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:02:42 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:08:36 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:09:14 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:09:46 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:16:16 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:17:12 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:18:12 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:18:53 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:19:27 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:27:25 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:29:16 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:29:46 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:30:53 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:32:02 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:33:48 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:34:40 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:35:31 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:35:48 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:36:53 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3477
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:36:57 +0900] "POST /edupack_egov/edu/deleteFile.do HTTP/1.1" 200 280
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:39:06 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:40:12 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:41:00 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:42:11 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:42:20 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:42:59 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:43:38 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:44:26 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:45:21 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:45:40 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:47:01 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:47:55 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:50:34 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:51:20 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:51:22 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:58:42 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:10:59:11 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:07:02 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:10:11 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:11:49 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:17:49 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:17:57 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:18:10 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:18:58 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:21:24 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:21:29 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:21:40 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:22:14 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:25:01 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:25:05 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:25:53 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:26:02 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:26:49 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:28:35 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:28:45 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 15370
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:28:57 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:29:13 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:29:41 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:31:42 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:31:46 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:31:57 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:32:12 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:32:17 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:35:09 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:11:35:18 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:28:23 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:29:40 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:32:47 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:34:42 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:35:28 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:37:28 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:37:56 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:38:18 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:38:33 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:39:54 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:40:08 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 916434
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:40:51 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:41:33 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:42:08 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:43:20 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:43:27 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:44:22 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:44:42 +0900] "POST /edupack_egov/edu/downloadFile.do?nexaversion=0 HTTP/1.1" 200 28940
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:46:40 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:46:53 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:46:56 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
0:0:0:0:0:0:0:1 - - [10/Jan/2025:13:47:26 +0900] "POST /edupack_egov/edu/getFileList.do HTTP/1.1" 200 3244
