127.0.0.1 - - [07/Feb/2025:09:31:12 +0900] "GET / HTTP/1.1" 404 807
172.10.14.144 - - [07/Feb/2025:09:31:20 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 875
172.10.14.144 - - [07/Feb/2025:09:31:20 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 1106
172.10.14.144 - - [07/Feb/2025:09:31:20 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 1293
172.10.14.144 - - [07/Feb/2025:09:31:20 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 314
172.10.14.144 - - [07/Feb/2025:09:32:12 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:32:13 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:32:13 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:36:19 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:36:19 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:36:19 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:36:19 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:38:47 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:38:47 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:38:47 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:38:47 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:38:53 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:38:54 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:38:54 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:39:33 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:39:33 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:39:33 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:39:34 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:39:56 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:39:56 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:39:57 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:45:38 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:45:38 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:45:38 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:45:39 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:45:42 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:45:42 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:45:42 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:46:27 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:46:27 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:46:27 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:46:27 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:46:31 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:46:32 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:46:32 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:46:43 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:46:43 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:46:43 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:46:43 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:46:46 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:46:47 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:46:47 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:47:55 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:47:55 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:47:55 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:47:55 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
172.10.14.144 - - [07/Feb/2025:09:47:58 +0900] "POST /edupack_egov/edu/loginId.do HTTP/1.1" 200 1292
172.10.14.144 - - [07/Feb/2025:09:47:59 +0900] "POST /edupack_egov/edu/userInfoCart.do HTTP/1.1" 200 676
172.10.14.144 - - [07/Feb/2025:09:47:59 +0900] "POST /edupack_egov/edu/userInfoLike.do HTTP/1.1" 200 757
172.10.14.144 - - [07/Feb/2025:09:53:27 +0900] "GET /edupack_egov/edu/getShopData.do HTTP/1.1" 200 3869
172.10.14.144 - - [07/Feb/2025:09:53:27 +0900] "GET /edupack_egov/edu/getShopDataDetail.do HTTP/1.1" 200 2972
172.10.14.144 - - [07/Feb/2025:09:53:27 +0900] "GET /edupack_egov/edu/getShopDataOption.do HTTP/1.1" 200 7669
172.10.14.144 - - [07/Feb/2025:09:53:27 +0900] "GET /edupack_egov/edu/getShopDataCategory.do HTTP/1.1" 200 1872
